Date,Open,High,Low,Close,Adj Close,Volume
2011-05-30,16.174000,16.271999,15.993000,16.080000,15.120376,1779000
2011-06-06,16.236000,16.652000,16.150000,16.378000,15.507779,11347000
2011-06-13,16.399000,16.541000,15.850000,15.869000,15.025826,9548000
2011-06-20,15.654000,16.497999,15.500000,16.382000,15.511568,11855000
2011-06-27,16.410999,17.778000,16.410999,17.587000,16.652542,10384000
2011-07-04,17.618999,18.349001,17.618999,18.153000,17.188467,9453000
2011-07-11,17.893999,17.975000,17.313999,17.801001,16.855171,7643000
2011-07-18,17.773001,18.260000,17.620001,18.093000,17.131657,10942000
2011-07-25,18.305000,18.400000,17.165001,17.379999,16.456543,9572000
2011-08-01,17.625000,17.709999,15.825000,16.264999,15.400783,10792000
2011-08-08,15.775000,16.895000,15.150000,16.535000,15.656438,15136200
2011-08-15,16.725000,16.885000,15.455000,15.490000,14.666961,11024800
2011-08-22,15.760000,15.955000,14.750000,15.150000,14.345028,13158400
2011-08-29,15.695000,16.910000,15.545000,15.980000,15.130926,8205200
2011-09-05,15.625000,16.815001,15.625000,15.790000,14.951023,5212200
2011-09-12,15.410000,15.915000,15.000000,15.725000,14.889476,7490600
2011-09-19,15.400000,15.925000,13.750000,14.350000,13.587534,12054000
2011-09-26,14.335000,15.490000,14.070000,14.575000,13.800579,10885000
2011-10-03,14.330000,15.165000,13.210000,14.745000,13.961546,12063600
2011-10-10,15.140000,16.155001,14.840000,15.580000,14.752181,11910400
2011-10-17,15.500000,16.340000,15.385000,15.700000,14.865805,11017200
2011-10-24,15.960000,16.305000,15.000000,16.209999,15.348705,12858600
2011-10-31,15.725000,16.190001,15.225000,15.505000,14.681165,10197000
2011-11-07,15.460000,15.915000,14.450000,14.990000,14.193527,7478600
2011-11-14,14.940000,15.025000,13.770000,13.930000,13.189852,5923400
2011-11-21,13.595000,13.605000,12.535000,12.895000,12.209844,8131800
2011-11-28,13.515000,14.600000,13.090000,14.385000,13.620674,13643800
2011-12-05,14.385000,14.585000,13.695000,14.130000,13.379225,11522000
2011-12-12,13.550000,13.695000,12.510000,12.605000,11.935252,16937600
2011-12-19,12.575000,13.410000,12.235000,13.130000,12.432358,12267400
2011-12-26,13.130000,13.325000,12.730000,13.140000,12.441825,5149400
